airline,year,CASM_Pilot,CASM_Maintenance,CASM_Pilot2,CASM_Maintenance2,CASM_Pilot_CASM_Maintenance,arr_flights,pc_delay,CASM_Pilot_change,CASM_Maintenance_change,pc_delay_change
aa,2006,1.0964694361359086,1.1359950957111862,1.2022452243801973,1.290484857479867,1.2455839020476018,643597.0,0.05423518133241764,-0.015955539547022113,0.0506119959706639,0.056220047231731796
aa,2007,1.1075865541078955,1.154670087014445,1.2267479748406023,1.3332630098459461,1.2788970628077931,633857.0,0.06662816692093013,0.010139013095672667,0.01643932387891822,0.22850454786079788
aa,2008,1.115502291327287,1.3368195465412245,1.2443453619564273,1.787086500014685,1.4912252672578405,604885.0,0.07365352091719914,0.007146833978828093,0.15775021937023714,0.10544120183594763
aa,2009,1.1596408087484018,1.4671693825130905,1.3447668053146473,2.1525859969838432,1.7013894893083736,551597.0,0.0660782600340466,0.0395682893386049,0.09750742821581437,-0.10284994917851387
aa,2010,1.1570498543739784,1.5169355524938766,1.3387643655068446,2.3010934704199024,1.7551700601077505,540963.0,0.05983825141460691,-0.002234273194662517,0.03391985313620882,-0.09443360972617232
aa,2011,1.1786456068272733,1.5132992267742045,1.3892054664932312,2.2900745497554054,1.7836434854525256,538179.0,0.0656580059794232,0.01866449606441467,-0.002397152412766612,0.09725809874510549
aa,2012,1.0692008031487672,1.5049021271323033,1.1431903574539688,2.264730412247331,1.6090425629901468,525220.0,0.06775996725181828,-0.09285641336509465,-0.005548869313705129,0.03201378477826178
aa,2013,1.0759209440949906,1.4571705922545122,1.157605877942256,2.123346134931366,1.5678003593259313,538547.0856978628,0.05820089321709391,0.006285200054501283,-0.031717368204367546,-0.1410725893535295
aa,2014,1.1822615464894837,1.5112002147787358,1.3977423643077056,2.2837260891472972,1.786633902979548,538353.0856978628,0.06371768331672555,0.09883681787042575,0.03707844696524498,0.09478875313912405
aa,2015,1.5028433102442653,1.4186904817137886,2.258538015145941,2.0126826829053015,2.1320694997507816,725984.0,0.05845350586238815,0.2711597655414679,-0.061216066647060474,-0.08261721362608887
aa,2016,1.5982108298222386,1.431634836906464,2.5542778565610886,2.049578306244198,2.288054300694705,914495.0,0.058541457307038317,0.0634580590856626,0.009124157354632123,0.0015046393428859162
aa,2017,1.7398072195478405,1.5169868414098635,3.0269291611907874,2.301249077010674,2.639264658643955,896348.0,0.05324336083753185,0.08859681531588093,0.05961855796121296,-0.0905016156621965
aa,2018,1.7949259076843094,1.5368423644624754,3.221759014076342,2.361884453206612,2.758518176000509,916818.0,0.060309570710871736,0.03168091701033049,0.01308879056205825,0.13271532379223583
aa,2019,1.8722437144456983,1.6729279855991066,3.5052965262814255,2.798688045000685,3.132128905758231,946776.0,0.0630392405384167,0.04307576509447064,0.08854884813396491,0.045260972601366856
aa,2020,3.415988913729052,2.785114971944844,11.668980258719788,7.756865406951328,9.513921867624386,569806.0,0.0390268617740073,0.8245428666002488,0.6648146219799427,-0.38091161250231165
alaska,2006,1.1686913047039376,1.111988744930899,1.3658393656905918,1.2365189688529958,1.2995715771293863,159404.0,0.07484724348197035,-0.09994818544737072,0.10536604536041705,-0.30797225452983135
alaska,2007,1.1597775569130346,1.024544242527392,1.3450839815191673,1.0496909048960277,1.1882434185477344,160185.0,0.07790879295814214,-0.007627119116079162,-0.07863793838033928,0.040903970991386984
alaska,2008,1.0632660991688394,1.0909148737955345,1.1305347976417202,1.1900952618683271,1.1599328023858448,151102.0,0.05496551997988114,-0.0832154900471419,0.06478063954018842,-0.29448887740550256
alaska,2009,1.4286856749173662,1.2266971429212477,2.0411427577140904,1.5047858804511518,1.7525646355536475,137322.0,0.042392114883267065,0.34367650396657723,0.12446642023799392,-0.22875077141481204
alaska,2010,1.2042820837375876,1.0741132050524642,1.450295337211346,1.153719177268077,1.2935352887506404,136950.0,0.03155684556407448,-0.1570699525581496,-0.12438598944269252,-0.2555963378809737
alaska,2011,1.2080344455062013,0.9691529337559269,1.4593472215294754,0.93925740900772,1.1707701269405495,143726.0,0.030576791951351878,0.0031158495333318825,-0.09771807180362391,-0.031056767405115204
alaska,2012,1.2056835076270926,0.9439557178117323,1.4536727205639695,0.8910523971894627,1.1381118408958995,147569.0,0.031101315316902602,-0.001946085136772413,-0.025999215465967285,0.017154296840075522
alaska,2013,1.2175865899360352,0.9448601867110851,1.4825171039920626,0.8927607724317066,1.1504490927038755,154743.0,0.02953154585344733,0.009872476677041941,0.000958168780893276,-0.05047276770967146
alaska,2014,1.249727987119518,0.8686430087384092,1.561820041789802,0.7545406766301159,1.0855674788360938,160257.0,0.03176279351291987,0.026397627445265526,-0.08066503282139159,0.07555471936840985
alaska,2015,1.212111819289331,0.8327997982947974,1.4692150624608917,0.6935555040398553,1.009446478614895,172521.0,0.0348331507468656,-0.03009948422207298,-0.041263453551153684,0.09666521405608819
alaska,2016,1.1846320399163024,0.7896634411219816,1.40335306999626,0.6235683502446093,0.93546061310366,177280.0,0.02899385153429603,-0.022670993662235017,-0.051796791090895855,-0.16763626279471744
alaska,2017,1.2852419784799598,0.8809049663541293,1.6518469432470815,0.7759935597473696,1.1321760418098035,185068.0,0.03690292216914864,0.08492927354114599,0.11554482641681951,0.2727844082907436
alaska,2018,1.4253049798479769,0.9523169779044429,2.031494285579442,0.9069076264050512,1.3573421310009783,245761.0,0.036860730547157605,0.10897792300066933,0.08106664654857387,-0.0011433138491754313
alaska,2019,1.479786104876824,1.0006831079916083,2.1897669161865227,1.001366682619745,1.4807969585909362,264816.0,0.0413660428372908,0.0382241876644942,0.050787848173823535,0.12222525769990766
alaska,2020,2.3744345439249583,1.5427296724947843,5.637939403384125,2.3800148423958647,3.6631106263096536,138476.90775765348,0.03014042655475637,0.6045795646409344,0.5416765409292006,-0.2713727374573698
delta,2006,1.0186145600074512,0.8485224148910434,1.0375756218591734,0.719990288572528,0.8643172863007001,507078.4005386399,0.05411829412539883,-0.1375476591678343,0.05777690576523664,0.14356804058282635
delta,2007,0.7736052943305655,0.9236813036737405,0.5984651514162809,0.8531871507564207,0.7145647467961644,475889.0,0.05533149536971857,-0.24053187073537752,0.08857619723852328,0.022417581040315104
delta,2008,0.8264059492598862,0.8145605419803017,0.6829467929721336,0.6635088765512428,0.6731576779248786,452427.20026932,0.0522558192752777,0.06825270627835023,-0.11813680893987433,-0.0555863540988647
delta,2009,0.9443599959749496,0.9660756723188005,0.8918158019978067,0.9333022046462225,0.9123232180224792,428503.20026932,0.044575872480038144,0.14273136201488001,0.18600843341876838,-0.14696825926280999
delta,2010,1.073523410470554,1.027478145316573,1.1524525128283296,1.055711339103185,1.1030218427442071,732973.0,0.0658913220541548,0.13677349214931245,0.0635586577295677,0.4781835640718437
delta,2011,1.1079689835076008,1.0619675058118738,1.227595268414866,1.1277749834002924,1.176627057932484,733323.40053864,0.048015756757692034,0.0320864665838525,0.03356700154889847,-0.27128861190205267
delta,2012,1.1829448679818835,1.2053811733763453,1.3993585606846757,1.4529437731301351,1.4258994730075285,727375.2002693199,0.03936425657884937,0.06766966006297803,0.1350452502356292,-0.1801804399856034
delta,2013,1.3609934601045195,1.2497645529825474,1.8523031984472722,1.5619114378916665,1.7009213832796952,754670.0,0.049865027097936845,0.15051300947472623,0.03682103270443626,0.26675902028160214
delta,2014,1.4209555479425287,1.2090574156504534,2.0191146692286517,1.4618198343393534,1.7180168425495677,802359.8010772798,0.049274497546975056,0.04405758704630691,-0.032571845020685664,-0.011842559511738848
delta,2015,1.485950389530395,1.048402638699188,2.2080485601455324,1.0991480928314201,1.5578743093597525,878362.0013465998,0.04400950861171599,0.04574023563367313,-0.13287605275952563,-0.1068501800599746
delta,2016,1.715336933603236,1.0507898591345735,2.9423807957833525,1.1041593280600568,1.8024586548292756,924730.8010772798,0.04419310571505294,0.15437025737133392,0.0022770072749409564,0.004171759902087846
delta,2017,1.7877241113753928,1.0818426499041622,3.195957498392938,1.1703835191516598,1.9340361899479186,925048.6008079599,0.0438650272018564,0.042199976199486455,0.029551856158151146,-0.007423748747415804
delta,2018,1.7977909286023541,0.8202276458641886,3.232052222964915,0.6727733910399089,1.4745978211235025,949779.2002693199,0.041622951946392976,0.005631079853376519,-0.24182352587333233,-0.051113048332238065
delta,2019,1.8384945697543273,0.6926478092552284,3.3800622830161493,0.4797609876660673,1.2734292360679684,992978.40053864,0.044974450603116715,0.022640920311917112,-0.15554198551128162,0.08052044605198105
delta,2020,3.372981155704651,1.3117013660305372,11.377001876738685,1.7205604736463773,4.424343989533051,593506.0067329992,0.031088177883660275,0.8346429797480299,0.8937493896659372,-0.3087591406507171
sw,2006,1.209569012583681,0.795254764768762,1.4630571962026613,0.632430140887419,0.961915520573819,1099321.0,0.04518912128486584,0.09259830697481375,0.005076388570794066,0.06677541774982276
sw,2007,1.1593794154275192,0.8922117141232203,1.3441606289170562,0.796041742818695,1.0344118955577641,1168871.0,0.04411586907366168,-0.04149378550046945,0.12191935672670962,-0.023750234142384086
sw,2008,1.1955979250962219,1.0009898608018044,1.429454398494391,1.0019807014280158,1.1967814006169932,1201754.0,0.04237639317198029,0.031239565914966017,0.12191965758427736,-0.03942970949471569
sw,2009,1.2997557421558603,1.0543693107000012,1.6893649892671312,1.1116946433459955,1.370422565935243,1132278.0,0.04501090721536584,0.08711776331600429,0.05332666392388741,0.06216937889672769
sw,2010,1.4165125829708547,1.0956248114460694,2.0065078977147626,1.200393727456235,1.5519663316284273,1124487.0,0.06008778225092864,0.08982983265866085,0.03912813122252068,0.3349604788773475
sw,2011,1.4244016303916924,1.092858485855484,2.0289200046625115,1.1943396701063411,1.5566694090399478,1155717.0,0.050029972735539927,0.0055693451054927845,-0.002524884031180563,-0.16738526766368167
sw,2012,1.4179283597306767,1.2263667137289425,2.010520833328527,1.503975316542326,1.7389001428259796,1140535.0,0.04889624605996309,-0.004544554374903198,0.1221642413921038,-0.022660949298728528
sw,2013,1.4557161171688922,1.1877092834854124,2.1191094137852757,1.4106533420774316,1.7289675464808316,1130704.0,0.06566303824873708,0.02664997648075329,-0.03152191739287069,0.34290550992835556
sw,2014,1.538694041443114,1.1214746301498952,2.3675793531725438,1.2577053460698444,1.725606331041264,1174633.0,0.07739150015366501,0.05700144643283833,-0.05576672192133336,0.17861588829471375
sw,2015,1.700216458801691,1.1026674058695818,2.890736006780162,1.215875407967153,1.8747732720436274,1261855.0,0.05871704752130791,0.10497370692817398,-0.016770084471549485,-0.24129849654390945
sw,2016,1.7502197464650613,1.1132049689984789,3.0632691609162235,1.2392253030029043,1.9483533186041642,1299444.0,0.05007142285469786,0.029409953894113272,0.00955642932112144,-0.1472421559253746
sw,2017,1.8457427967035822,1.0289044871265978,3.406766471583161,1.0586444436292473,1.8990930456099115,1329444.0,0.05423607162091822,0.054577746840903885,-0.07572772689626428,0.08317416459895188
sw,2018,1.8487288556793997,1.0972580932933893,3.4177983818216626,1.2039753232978443,2.0285326991992476,1352552.0,0.060900165021381805,0.0016178088199236829,0.06643338329457715,0.1228719780267662
sw,2019,2.046223299342259,1.2870141755780071,4.18702979077112,1.6564054881387373,2.633518392651487,1363946.0,0.058436448363791534,0.10682715480755611,0.17293659845795295,-0.04045500790885004
sw,2020,3.4032895312304974,1.3134202753269442,11.582379633383098,1.7250728196399059,4.469949473126067,961276.0,0.022393391700198485,0.6632053463199525,0.02051733403563949,-0.6167906789818886
united,2006,0.7789174014837322,1.2247112339422022,0.6067123183341697,1.4999176065442315,0.9539488919101954,500008.0,0.05628269947680837,-0.010009205807041122,0.07953173220730125,-0.03007963049978246
united,2007,0.7976688911201192,1.366803270731003,0.6362756598608006,1.8681511808809672,1.090256449343351,490002.0,0.06064842592479214,0.024073784461186687,0.11602084871175977,0.07756782259142869
united,2008,0.8734448206847095,1.3422773490998918,0.7629058547809444,1.801708481906633,1.1724051984937023,449515.0,0.06211479038519293,0.094996721582288,-0.01794400273712693,0.024178112424866116
united,2009,0.9252564506424066,1.3340071563948028,0.8560994994553842,1.779575093312548,1.234298726657425,377533.9300865801,0.04070357695558451,0.0593187213785078,-0.006161314359237946,-0.34470394726973874
united,2010,0.8804369823511906,1.3788459340682797,0.7751692798916707,1.9012161098966267,1.213986953318285,343081.0,0.030539668474791667,-0.04844004952367287,0.033612096800631264,-0.24970553550818486
united,2011,0.8212012294724809,1.6115098068860967,0.6743714592871142,2.5969638576900644,1.323373834721823,311212.0,0.04203218384895184,-0.06727994628363043,0.16873812154730228,0.37631434616411874
united,2012,0.9464979262126803,1.291992237538934,0.8958583243249043,1.6692439418608616,1.2228679735134818,534639.5106060606,0.07039853749996489,0.1525773370075041,-0.19827218424724513,0.6748722301213579
united,2013,1.162543402685583,1.2745197256700627,1.3515071631277735,1.6244005311220917,1.4816844986703703,506282.9300865801,0.061102003520705626,0.22825773885991252,-0.013523697249260724,-0.13205578282452102
united,2014,1.3636012696538085,1.2564908443016296,1.8594084226014784,1.578769241813822,1.7133525105980878,494982.79025974026,0.07395334716720448,0.1729465467730178,-0.01414562756881188,0.2103260598016874
united,2015,1.3441693490002606,1.1868886062390858,1.8067912387917844,1.4087045636201596,1.5953792851842186,516207.9300865801,0.07394539903759553,-0.014250441889425036,-0.0553941466252621,-0.00010747491375839857
united,2016,1.5138420640007513,1.2128711819096127,2.2917177947380547,1.4710565039068209,1.8360954133890788,545551.9300865801,0.05325035028656751,0.12622867433086937,0.021891334649220662,-0.279869322775663
united,2017,1.5439066942823179,1.2740446535784942,2.3836478806497543,1.6231897793119452,1.9670060694744338,584481.0,0.04122382079143719,0.019859819591822037,0.05043690754740049,-0.22584883348953355
united,2018,1.621030515146951,1.197006130317067,2.6277399310375897,1.432823676016639,1.9403834640619335,621565.0,0.0432649521771657,0.049953679940797135,-0.06046767909197215,0.04951339653971343
united,2019,1.6558836286631302,1.150432142101707,2.741950591674575,1.323494113580722,1.9049817499940724,626394.9300865801,0.044675299930597115,0.021500590636950312,-0.03890872990184546,0.032597927016218
united,2020,3.6168198791876014,1.6621728979271135,13.081386038486615,2.7628187426034185,6.011779979869648,311126.5805194805,0.026404006517295606,1.1842234662997568,0.44482480721593465,-0.4089797593230685
